"id","fecha_alta","ip_alta","fecha_ultimo_acceso","ip_ultimo_acceso","numero_votos","valoracion_votos","numero_comentarios","numero_imagenes","titulo","descripcion","telefono","fax","movil","pais","provincia","municipio","codigo_postal","url_web","latitud","longitud","descripcion_en","categoria","subcategoria","total_visitas","visible","preferencia","de_pago","fecha_ultima_actualizacion","email_contacto"
"","","","","","","","","","AVENCIO","Paseo Marcial García 2  - El Médano",922178220,922176040,"","+34","Santa Cruz de Tenerife","Granadilla de Abona",38612,"","28.059862287671145"," -16.53845217078924","","81","82","","","","","",""
"","","","","","","","","","RANAS, LAS","AVDA.SANTIAGO APOSTOL, 34 ",922340004,922346054,"","+34","Santa Cruz de Tenerife","Realejos (Los)",38410,"http://www.catering-lasranas.com","28.376675494416588"," -16.58231735229492","","81","82","","","","","","info@catering-lasranas.com"
"","","","","","","","","","Onofre","Avda del Gran Poder"," "," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.554030548649408"," -16.3452537058037","","81","84","","","","","",""
"","","","","","","","","","SINGAPUR","C/. EMILIO CALZADILLA, 4 BAJO",922286843,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38002,"","28.4687954"," -16.2482056999999","","81","82","","","","","",""
"","","","","","","","","","Calvario","Ctra General Punta del Hidalgo","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.540733278486062"," -16.3576240511611","","81","84","","","","","",""
"","","","","","","","","","Playa casa Pepe (La)","Avda las Piscinas -Paseo Werner Rauttemberg.","922 54 36 31"," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.55493523464349"," -16.34516751757473","","81","82","","","","","",""
"","","","","","","","","","Caseta (La)","Avda Marítima,1 -Urb. Tesesinte","922 15 66 32","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.570049879647403"," -16.32397842127829","","81","82","","","","","",""
"","","","","","","","","","Paco","C/ Garimba","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4980928"," -16.3829553000000","","81","84","","","","","",""
"","","","","","","","","","Pasito (El)","La Laguna","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4874009"," -16.31590610000000","","81","84","","","","","",""
"","","","","","","","","","LOS ASADORES","Ctra. Las Arenas, 98 ","922 38 51 84","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.39913955759077"," -16.5521478652954","","81","82","","","","","",""
"","","","","","","","","","Delfina","C/ molinos de agua, 42","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38207,"","28.4838297"," -16.3127842000000","","81","84","","","","","",""
"","","","","","","","","","COLUMBUS PLAZA","Plza. del Charco, s/n ","922 38 54 06","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.416669859457752"," -16.55136323010083","","81","83","","","","","",""
"","","","","","","","","","Palmero II","Pza de la Concepción, 9 ","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38201,"","28.4895537"," -16.3193146999999","","81","84","","","","","",""
"","","","","","","","","","EL PESCADOR","C/ Puerto Viejo, 8","922 38 40 88","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41590694675987"," -16.5529502033314","","81","82","","","","","",""
"","","","","","","","","","Matías","C/ Anchieta, 50","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38201,"","28.4908174"," -16.3163265000000","","81","84","","","","","",""
"","","","","","","","","","Bistro (El)","Avda Gran Poder, 133 - Loc 2"," "," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.554134210980557"," -16.34517270322248","","81","83","","","","","",""
"","","","","","","","","","BODEGUITA, LA","C/ San Juan, 22","","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.415814629277325"," -16.54939895859570","","81","83","","","","","",""
"","","","","","","","","","COSTA DE ORO","Ctra. del Botánico, 14","922 36 85 58","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.413325959869095"," -16.54306840966455","","81","82","","","","","",""
"","","","","","","","","","Café de Paris","Avda. Colón, 2","922 38 40 00","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.4180462662298"," -16.54448211193084","","81","82","","","","","",""
"","","","","","","","","","PIZZA PAZZA","SAN ISIDRO, 15",922272049,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4754572"," -16.24894849999998","","81","82","","","","","",""
"","","","","","","","","","HERRERIA, LA","C/ Cólogan, 7","922 38 65 01","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.416480822710987"," -16.5485690833884","","81","82","","","","","",""
"","","","","","","","","","MIL SABORES","C/ Cruz Verde, 5","922 36 81 72","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41737159025072"," -16.55184745788574","","81","82","","","","","",""
"","","","","","","","","","CHINA","AVDA. ANAGA, 2",922272013,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4797839"," -16.24210849999997","","81","82","","","","","",""
"","","","","","","","","","DRAGON DE ORO","ANAGA AVDA., 2",922284037,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4455124"," -16.30455400000005","","81","82","","","","","",""
"","","","","","","","","","Ana","TELECLUB, El Tanque Bajo",922136921,922,"","+34","Santa Cruz de Tenerife","Tanque (El)",38435,"","28.364021288673694"," -16.77163219079375","","81","84","","","","","",""
"","","","","","","","","","ESTRELLA POLAR","PORLIER, 15",922244018,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38000,"","28.4669415"," -16.25755470000001","","81","82","","","","","",""
"","","","","","","","","","PILON","LOS REMEDIOS PZA., 9",922127304,"","","+34","Santa Cruz de Tenerife","Buenavista del Norte",38480,"","28.372053600107403"," -16.85112058650702","","81","84","","","","","",""
"","","","","","","","","","MADRILEÑA, LA","SANTA CRUZ, 28 RMBLA.",922272024,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38006,"","28.4685481"," -16.26055270000006","","81","84","","","","","",""
"","","","","","","","","","RANCHO GRANDE","Pº de San Telmo, 8","922 38 37 52","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.417122792262184"," -16.54698586498852","","81","82","","","","","",""
"","","","","","","","","","Sheriff","Pza La Fonda, 16","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.4874009"," -16.31590610000000","","81","82","","","","","",""
"","","","","","","","","","EL PESCADO","Avda. de Venezuela, 5","922 38 49 35","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.417892459472114"," -16.54331660305615","","81","82","","","","","",""
"","","","","","","","","","Gallego (El)","Urb. Montalmar, 5","922 40 01 10","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.5529413"," -16.34329320000006","","81","82","","","","","",""
"","","","","","","","","","18 DE JULIO","JUAN PABLO II, 49","","","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38004,"","28.4684091"," -16.26048960000002","","81","84","","","","","",""
"","","","","","","","","","Casa Tita","Ctra General Punta del Hidalgo, 142 ","922 15 66 22","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.5329313"," -16.36939029999996","","81","82","","","","","",""
"","","","","","","","","","VICTOR","PLAZA LA PAZ","922 28 75 85","","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38006,"","28.4377562"," -16.30168609999998","","81","84","","","","","",""
"","","","","","","","","","TROPICANA","RAMBLA DE SANTA CRUZ, 31",922272084,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38004,"","28.4693899"," -16.26008290000004","","81","82","","","","","",""
"","","","","","","","","","CANELA, LA","C/. IMELDO SERIS, 106",922286026,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38003,"","28.4654403"," -16.24897609999993","","81","82","","","","","",""
