ows_LinkTitle,ows_Zona,ows_Georeferencia,ows_CodigoPostal,ows_Direccion,ows_Telefono,ows_Fax,ows_Web,ows_Mascotas,ows_Accesibilidad,ows_FechaActualizacion,ows_Situacion,ows_ObservacionesSituacion,ows_DescripcionEspanol,ows_DescripcionIngles,ows_DescripcionAleman,ows_TipoActividad,ows_Actividad,ows_Email,ows_Municipio,ows_Categorias,ows_Image,ows_Recomendado,ows_DescripcionRuso,ows_DescripcionItaliano,ows_BanderaAzul,ows_Nudista,ows_HamacasSombrillas,ows_Socorrismo,ows_PrecioHamacas,ows_ColorArena,ows_TipoOleaje,ows_Gratis,ows_MaterialInf,ows_Dificultad,ows_Peligrosidad,ows_LongitudPlaya,ows_AnchoPlaya,ows_ComoLlegarEspanol,ows_ComoLlegarIngles,ows_ComoLlegarAleman,ows_ComoLlegarFrances,ows_ComoLlegarItaliano
"Playa Mesa del Mar-Tacoronte","Norte","(28.505165965471978, -16.422886848449707)","38350","Mesa del Mar","Oficina de Turismo 922 57 00 15","Oficina de Turismo 922 57 00 15","http://www.tacoronte.es","","","2011-05-03 10:24:13","Abierto","costa del municipio de Tacoronte","","","","Playas","Naturaleza y Monumentos","of_turismotacoronte@hotmail.com","Tacoronte","","../PublishingImages/Playa Mesa del Mar.jpg","Accesibilidad","","","Si","No","No","Si","","Gris","Moderado","Si","Si","Bajo","Bajo","","","Linea TITSA 021. Salida desde la estación de guaguas de Tacoronte.","","","",""
"Barrio pesquero El Pris - Tacoronte","Norte","(28.51012509426835, -16.421384811401367)","38350","El Pris","Oficina de Información y Turismo 922 57 00 15. Centro de Información Patrimonial de Agua García 922 58 45 60","Oficina de Información y Turismo 922 57 00 15. Centro de Información Patrimonial de Agua García 922 58 45 60","http://www.tacoronte.es","","","2011-05-03 10:19:26","Abierto","","Barrio pesquero con playa indicada para el baño y piscina natural.","","","Playas","Naturaleza y Monumentos","of_turismotacoronte@hotmail.com","Tacoronte","","../PublishingImages/El Pris.jpg","","","","No","No","No","No","","Gris","Moderado","Si","Si","Bajo","Bajo","","","Línea TITSA 023. Salida desde Estación de guaguas de Tacoronte.","","","",""
"Playa de La Arena","Sur","(28.35394230526438, -16.369667172257323)","38530","Avenida de la Constitución","922 50 08 00","922 50 00 08","http://www.candelaria.es","","","2011-05-25 12:52:00","Abierto","","Playa que se extiende de forma longitudinal 800 metros aproximadamente. Tiene arena negra fina que alterna en algunas zonas con grava o callaos de granulometría pequeña. Presenta un pequeño charco artificial realizado con piedras de la zona en su parte septentrional.  Otros: La zona más septentrional a diferencia del resto, tiene papeleras, cartel de prohibido perros, bandera de señalización y flotadores de salvamento. Está próxima a aparcamientos y zonas comerciales de ocio y restauración. ","","","Playas","Naturaleza y Monumentos","","Candelaria","Adaptada (discapacitados),Arena,Callaos,Parking,Policia,Socorrismo,Teléfono,","../PublishingImages/2º PREMIO 2008 (Carlos Doval).jpg","Niños","","","","","","","","Negra","Moderado","","","Bajo","Bajo","800 metros","","En guagua desde Santa Cruz las líneas 122, 123,124, 131, 120, 121","","","",""
"Playa de El Alcalde","Sur","(28.355906161591705, -16.36947637787671)","38530","Avda. de la Constitución","922 50 08 00","922 50 00 08","http://www.candelaria.es","","","2011-05-25 15:48:24","Abierto","","Descripción: Pequeña playa en forma de herradura, con escolleras en ambos extremos. La parte superior es de tierra, en la zona media presenta callaos de granulometría pequeña y, en la parte inferior, arena. Su longitud está en torno a los 30 metros. Cuenta con jardines en la parte superior. Dispone de papeleras. Está próxima a aparcamientos y a zonas comerciales, de ocio y restauración.  ","","","Playas","Naturaleza y Monumentos","","Candelaria","Bar,Callaos,Parking,Policia,Restaurante,","../PublishingImages/Playa El Alcalde.jpg","Niños","","","","","","","","Negra","Moderado","","","Bajo","Bajo","30 metros","","En Bus desde Santa Cruz líneas 122, 120, 121, 123, 124, 131. Desde el sur las guaguas paran en la autopista (111, 115, 116)","","","",""
"Playa El Pozo","Sur","(28.357643388829587, -16.368768274696777)","38530","Avda. la Constitución","922 50 08 00","922 50 00 08","http://www.candelaria.es","","","2011-05-25 16:04:55","Abierto","","Descripción: Playa de callaos de granulometría pequeña. De unos 12 metros de longitud, se encuentra inserta en el refugio pesquero.  Otros: Próxima a un puesto de salvamento marítimo de la Cruz Roja. Hay contenedores, un cartel de prohibidos perros y barcos varados. Existe una hornacina para la Virgen del Carmen. Se encuentra próxima a zonas de ocio y restauración. ","","","Playas","Naturaleza y Monumentos","","Candelaria","Callaos,Restaurante,","../PublishingImages/Playa El Pozo.jpg","Niños","","","","","","","","Negra","Tranquilo","","","Bajo","Bajo","12 metros","","","","","",""
"Playa La Hornilla","Sur","(28.360117000291282, -16.36694437256665)","38530","C/ La PIscina, Candelaria","922 50 08 00 ","922 50 00 08","http://www.candelaria.es","","","2011-05-25 16:13:39","","","Descripción: Pequeño paseo marítimo con zonas aptas para el baño. Cuando hay bajamar aparece una pequeña playa de fina arena negra en la parte superior. Cuenta con varios puntos de acceso al agua.  Otros: Dispone de papeleras y contenedores de basura, así como de zonas ajardinadas ","","","Playas","Naturaleza y Monumentos","","Candelaria","Arena,Callaos,","../PublishingImages/Playa La Hornilla.jpg","Niños","","","","","","","","Negra","Tranquilo","","","Bajo","Bajo","","","","","","",""
"Playa de Punta Larga","Sur","(28.368387129941308, -16.362084209831664)","38530","Avda. Marítima, Punta Larga","922 50 08 00","922 50 00 08","http://www.candelaria.es","","","2011-05-25 16:51:13","Abierto","","La nueva zona de baño de Punta Larga tiene rampas de entrada y una pasarela de madera que discurre en paralelo al paseo marítimo.","","","Playas","Naturaleza y Monumentos","","Candelaria","Adaptada (discapacitados),Arena,Aseos,Bar,Callaos,Duchas,Restaurante,Socorrismo,","../PublishingImages/Nueva Playa de Punta Larga.jpg","Niños","","","","","","","","Negra","Moderado","","","Bajo","Bajo","","","","","","",""
"Playa la Arena","Sur","","38683","Av marítima, playa la arena","922860348","922860348","http://www.santiagodelteide.es","","","2011-06-08 13:45:55","Abierto","","Playa natural de arena negra volcánica, situada en la costa de Puerto Santiago, ha sido galardonada consecutivamente con la bandera azul de los mares limpios de Europa desde 1988 hasta hoy, por la calidad de sus aguas, , accessibilidad y servicios que ofrece al bañista.","A black sand beach situated on the coast of Puerto Santiago, awarded an european blue flag for 24 consecutive years(1988)","Es handelt sich um einen Strand mit schwarzem Sand, der an der Küste von Puerto Santiago liegt. 24 aufeinander folgende Jahre lang ist ihm die von Europa vergebene blaue Flagge für reine Gewässer verliehen worden (1988)","Playas","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","Adaptada (discapacitados),Arena fina,Aseos,Bandera Azul,Duchas,Hamacas,Parking,Policia,Restaurante,Sillas anfibias,Socorrismo,Sombrillas,Teléfono,Vestuarios,Vigilante,","","Accesibilidad","Il s´agit d´une plage de sable noir, qui se trouve sur la côte de Puerto Santiago. Pendant 24 années d´affilée, elle a mérité le pavillon bleu pour les eaux limpi des décerné par l ¨Europe (1988)","Spiaggia di sabbia nera situata lungo la costa di Puerto Santiago, insignita per 24 anni consecutivi con la bandiera azzurra dei mari  pulitid´Europa","","","","","","Negra","Moderado","","","Bajo","Bajo","178 m","100 m","","","","",""
"Playa de los Guios o Argel","Sur","","38683","C/ los Guios, los Gigantes","922 86 03 48","922 86 03 48","http://www.santiagodelteide.org","","","2011-06-08 13:51:18","Abierto","","Playa junto al acantilado y al muelle de los Gigantes.","","","Playas","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","Acceso a pie,Arena fina,Aseos,Bar,Duchas,Hamacas,Restaurante,Socorrismo,Sombrillas,Vigilante,","","Familias","","","","","","","","Negra","Moderado","","","Bajo","Bajo","140 m","40 m","","","","",""
"Playa del Camisón","Sur","(28.0639452, -16.730575600000065)","38660","Playa de Las Américas","","","","","","2011-06-16 15:53:14","",""," Ubicada en una de las zonas más transitadas de Playa de Las Américas, la Playa del Camisón brinda a sus bañistas sol y relax.  Localizada frente a complejos hoteleros de primer orden, esta playa se ha consolidado como una de las más importantes del municipio.  Bordeada por el paseo marítimo, dispone de todo tipo de servicios y comodidades para los turistas. El especial cuidado que se ha llevado a cabo en esta playa ha hecho que en 2010 la Fundación Europea de Educación Ambiental le concediese la Bandera Azul por la calidad de sus aguas, gestión medioambiental y cuidado del entorno, así como los servicios prestados para todo tipo de bañistas. En las cercanías se encuentra una agradable terraza donde se puede disfrutar relajadamente de cualquier aperitivo junto al mar. Por las inmediaciones del paseo marítimo se puede contemplar una panorámica inmejorable de la vecina isla de La Gomera. Longitud: 350 metros. Anchura: 40 metros. Grado de ocupación: Alto Ubicación física: En el centro de Playa de Las Américas, frente al paseo marítimo y complejos hoteleros de exclusividad.  Accesos a la playa: para peatones. Parking cercanos para vehículos. Proximidad al núcleo turístico: Sí. Tipo de playa: Artificial Condiciones de baño: Aguas tranquilas Morfología: Arena   Servicios prestados:   - Alquiler de Hamacas y sombrillas - Duchas / Lavapiés - Papeleras - Baños - Servicio de limpieza - Actividades acuáticas (Jetsky, motos acuáticas,  parascending, pedales, banana) -     Seguridad policial Galardones:  2010: Bandera Azul otorgada por la FEEE (Fundación Europea para la Educación ambiental) Datos históricos:    De sus llanuras se extrajo la arena y el callao con que fabricar viviendas, acequias, charcas, etc., y de su litoral la piedra caliza que después se transformaría en cal en los hornos de la zona. En la Punta de El Camisón, a los pies de El Cabezo Grande existieron unas salinas hasta mediados de los años 80: las Salinas de El Gincho. Importante entorno donde recababan, para descansar, muchas aves migratorias y de las que se abastecían los pescadores para el salado y jareado del pescado. En este paraje, casi desértico, se llegó a plantar cereales, tomates y algodón y existieron salones para guardar las herramientas y la sal que se extraía de las salinas, y dos hornos de cal. Esta zona reunía las condiciones perfectas, según numerosas autoridades e instituciones, para la construcción del aeropuerto de Tenerife, pero, lo lejos que estaba Los Cristianos de la capital, la falta de carretera en condiciones y otras carencias hicieron que se frustrara el proyecto.   Oficina de Información Turística más cercana:  Oficina de Información Turística Playa de Las Américas Tel: 922 797 668  Oficina de Información Turística Playa de Las Vistas Tel: 922 787 011 ","","","Playas","Naturaleza y Monumentos","","Arona","Arena,Aseos,Bandera Azul,Bar,Chiringuitos,Hamacas,Policia,Sombrillas,","","","","","","","","","","Gris","Tranquilo","","","Bajo","Bajo","350 metros","40 metros","Desde la autopista TF 1 en dirección Playa de Las Américas frente al paseo marítimo Francisco Andrade Fumero y cercanías de la zona comercial por excelencia conocida como ‘La Milla de Oro’. Disponibilidad de señalización viaria. En transporte público regular: Líneas 473, 416, 467, 417, 477. ","","","",""
